iter	Passed	Remaining
877	2186	303
878	2188	301
879	2190	298
880	2193	296
881	2195	293
882	2199	291
883	2201	288
884	2203	286
885	2205	283
886	2207	281
887	2209	278
888	2211	276
889	2213	273
890	2216	271
891	2217	268
892	2220	266
893	2223	263
894	2225	261
895	2227	258
896	2229	256
897	2232	253
898	2235	251
899	2238	248
900	2240	246
901	2245	243
902	2247	241
903	2249	238
904	2253	236
905	2257	234
906	2260	231
907	2262	229
908	2264	226
909	2267	224
910	2269	221
911	2271	219
912	2274	216
913	2277	214
914	2280	211
915	2282	209
916	2284	206
917	2287	204
918	2291	201
919	2294	199
920	2296	196
921	2298	194
922	2300	191
923	2304	189
924	2306	187
925	2308	184
926	2310	181
927	2312	179
928	2314	176
929	2317	174
930	2320	171
931	2323	169
932	2325	167
933	2327	164
934	2331	162
935	2334	159
936	2338	157
937	2341	154
938	2343	152
939	2345	149
940	2352	147
941	2355	145
942	2357	142
943	2360	140
944	2363	137
945	2365	135
946	2367	132
947	2369	129
948	2371	127
949	2373	124
950	2376	122
951	2379	119
952	2381	117
953	2383	114
954	2385	112
955	2388	109
956	2391	107
957	2393	104
958	2395	102
959	2397	99
960	2399	97
961	2401	94
962	2403	92
963	2407	89
964	2409	87
965	2411	84
966	2413	82
967	2415	79
968	2417	77
969	2419	74
970	2422	72
971	2424	69
972	2426	67
973	2429	64
974	2430	62
975	2432	59
976	2435	57
977	2437	54
978	2439	52
979	2441	49
980	2443	47
981	2445	44
982	2447	42
983	2450	39
984	2452	37
985	2454	34
986	2456	32
987	2458	29
988	2460	27
989	2462	24
990	2464	22
991	2467	19
992	2469	17
993	2471	14
994	2473	12
995	2474	9
996	2476	7
997	2478	4
998	2481	2
999	2483	0
